節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,elo_diff_for_prob,round_key,P1_label,P2_label,P3_label,P1_prob,P2_prob,P3_prob,maxP,margin12,is_close,pred_label,elo_abs,p_draw,actual_norm,p_actual,surprise
第１２節第２日,j1_2025_04251903_福岡_岡山,2025-04-25 19:03:00,福岡,岡山,1,1,0.4211,True,0.43,0.25,0.32,H,D,0.0,H,0.4211,第１２節第２日,H,A,D,0.43,0.32,0.25,0.43,0.10999999999999999,False,H,0.4211,0.25,D,0.25,1.3862943611198906
第１２節第２日,j1_2025_04251903_鹿島_名古屋,2025-04-25 19:03:00,鹿島,名古屋,1,0,1.5263,True,0.668,0.203,0.129,H,H,1.0,H,1.5263,第１２節第２日,H,D,A,0.668,0.203,0.129,0.668,0.465,False,H,1.5263,0.203,H,0.668,0.40346710544549125
第１２節第２日,j1_2025_04251933_FC東京_Ｇ大阪,2025-04-25 19:33:00,FC東京,Ｇ大阪,3,0,0.4211,True,0.37,0.26,0.37,D,H,1.0,D,0.4211,第１２節第２日,H,A,D,0.37,0.37,0.26,0.37,0.0,True,H,0.4211,0.26,H,0.37,0.9942522733438669
第１２節第２日,j1_2025_04251933_浦和_広島,2025-04-25 19:33:00,浦和,広島,1,0,0.4211,True,0.362,0.258,0.38,A,H,0.0,A,0.4211,第１２節第２日,A,H,D,0.38,0.362,0.258,0.38,0.018000000000000016,True,A,0.4211,0.258,H,0.362,1.016111067156366
第１２節第３日,j1_2025_04261403_柏_新潟,2025-04-26 14:03:00,柏,新潟,1,1,1.6842,True,0.706,0.193,0.102,H,D,0.0,H,1.6842,第１２節第３日,H,D,A,0.706,0.193,0.102,0.706,0.5129999999999999,False,H,1.6842,0.193,D,0.193,1.6450650900772514
第１３節第１日,j1_2025_04291309_FC東京_清水,2025-04-29 13:09:00,FC東京,清水,0,2,0.4737,True,0.322,0.25,0.428,D,A,1.0,D,0.4737,第１３節第１日,A,H,D,0.428,0.322,0.25,0.428,0.10599999999999998,False,A,0.4737,0.25,A,0.428,0.8486320834003402
第１３節第１日,j1_2025_04291403_広島_新潟,2025-04-29 14:03:00,広島,新潟,0,1,1.3158,True,0.635,0.211,0.154,H,A,0.0,H,1.3158,第１３節第１日,H,D,A,0.635,0.211,0.154,0.635,0.42400000000000004,False,H,1.3158,0.211,A,0.154,1.870802676568508
第１３節第１日,j1_2025_04291403_岡山_東京Ｖ,2025-04-29 14:03:00,岡山,東京Ｖ,0,1,0.4737,True,0.498,0.238,0.264,H,A,0.0,H,0.4737,第１３節第１日,H,A,D,0.498,0.264,0.238,0.498,0.23399999999999999,False,H,0.4737,0.238,A,0.264,1.3318061758358208
第１３節第１日,j1_2025_04291403_名古屋_柏,2025-04-29 14:03:00,名古屋,柏,1,2,-0.2632,False,0.147,0.209,0.644,A,A,1.0,A,-0.2632,第１３節第１日,A,D,H,0.644,0.209,0.147,0.644,0.43500000000000005,False,A,0.2632,0.209,A,0.644,0.4400565528777834
第１３節第１日,j1_2025_04291403_横浜FC_鹿島,2025-04-29 14:03:00,横浜FC,鹿島,0,3,-0.5789,False,0.176,0.217,0.607,A,A,1.0,A,-0.5789,第１３節第１日,A,D,H,0.607,0.217,0.176,0.607,0.39,False,A,0.5789,0.217,A,0.607,0.4992264879226388
第１３節第１日,j1_2025_04291503_Ｇ大阪_京都,2025-04-29 15:03:00,Ｇ大阪,京都,2,1,0.1053,True,0.199,0.223,0.578,A,H,0.0,A,0.1053,第１３節第１日,A,D,H,0.578,0.223,0.199,0.578,0.355,False,A,0.1053,0.223,H,0.199,1.6144504542576446
第１３節第１日,j1_2025_04291503_Ｃ大阪_町田,2025-04-29 15:03:00,Ｃ大阪,町田,1,2,0.0,False,0.293,0.244,0.462,A,A,1.0,A,0.0,第１３節第１日,A,H,D,0.462,0.293,0.244,0.462,0.16900000000000004,False,A,0.0,0.244,A,0.462,0.7721903879003982
第１３節第１日,j1_2025_04291503_湘南_福岡,2025-04-29 15:03:00,湘南,福岡,0,0,0.0526,True,0.344,0.255,0.401,D,D,0.0,D,0.0526,第１３節第１日,A,H,D,0.401,0.344,0.255,0.401,0.05700000000000005,False,A,0.0526,0.255,D,0.255,1.3664917338237108
第１３節第２日,j1_2025_05211903_川崎Ｆ_浦和,2025-05-21 19:03:00,川崎Ｆ,浦和,2,2,0.6842,True,0.445,0.247,0.308,H,D,0.0,H,0.6842,第１３節第２日,H,A,D,0.445,0.308,0.247,0.445,0.137,False,H,0.6842,0.247,D,0.247,1.3983669423541598
