d_th,ha_gap_th,accuracy,pred_H,pred_D,pred_A,d_rate_gap_from_actual
0.37,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.38,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.39,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.4,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.3,0.05,0.4868421052631579,0.5684210526315789,0.007894736842105263,0.4236842105263158,-0.24736826315789476
0.3,0.06,0.4868421052631579,0.5684210526315789,0.007894736842105263,0.4236842105263158,-0.24736826315789476
0.3,0.07,0.4868421052631579,0.5684210526315789,0.007894736842105263,0.4236842105263158,-0.24736826315789476
0.3,0.08,0.4868421052631579,0.5684210526315789,0.007894736842105263,0.4236842105263158,-0.24736826315789476
0.28,0.06,0.4868421052631579,0.5342105263157895,0.09210526315789473,0.3736842105263158,-0.16315773684210527
0.28,0.07,0.4868421052631579,0.531578947368421,0.09736842105263158,0.37105263157894736,-0.15789457894736844
0.28,0.08,0.4868421052631579,0.5289473684210526,0.10263157894736842,0.3684210526315789,-0.1526314210526316
0.28,0.09,0.4868421052631579,0.5131578947368421,0.12105263157894737,0.36578947368421055,-0.13421036842105266
0.28,0.1,0.4868421052631579,0.5052631578947369,0.13421052631578947,0.3605263157894737,-0.12105247368421054
0.3,0.09,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.1,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.11,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.12,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.13,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.14,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.3,0.15,0.4842105263157895,0.5657894736842105,0.010526315789473684,0.4236842105263158,-0.24473668421052633
0.29,0.06,0.4842105263157895,0.5605263157894737,0.034210526315789476,0.4052631578947368,-0.22105247368421055
0.29,0.07,0.4842105263157895,0.5605263157894737,0.034210526315789476,0.4052631578947368,-0.22105247368421055
0.29,0.09,0.4842105263157895,0.55,0.05,0.4,-0.20526300000000003
0.28,0.11,0.4842105263157895,0.5,0.1394736842105263,0.3605263157894737,-0.11578931578947371
0.26,0.05,0.4842105263157895,0.45,0.2710526315789474,0.2789473684210526,0.01578963157894736
0.29,0.08,0.48157894736842105,0.5605263157894737,0.03684210526315789,0.4026315789473684,-0.21842089473684212
0.29,0.1,0.48157894736842105,0.5473684210526316,0.05526315789473684,0.3973684210526316,-0.19999984210526317
0.29,0.11,0.48157894736842105,0.5473684210526316,0.05526315789473684,0.3973684210526316,-0.19999984210526317
0.29,0.13,0.48157894736842105,0.5421052631578948,0.060526315789473685,0.3973684210526316,-0.19473668421052634
0.29,0.14,0.48157894736842105,0.5421052631578948,0.060526315789473685,0.3973684210526316,-0.19473668421052634
0.29,0.15,0.48157894736842105,0.5421052631578948,0.060526315789473685,0.3973684210526316,-0.19473668421052634
0.28,0.14,0.48157894736842105,0.48947368421052634,0.15263157894736842,0.35789473684210527,-0.1026314210526316
0.25,0.05,0.48157894736842105,0.45,0.27631578947368424,0.2736842105263158,0.02105278947368422
0.29,0.12,0.4789473684210526,0.5447368421052632,0.05789473684210526,0.3973684210526316,-0.19736826315789474
0.28,0.13,0.4789473684210526,0.4921052631578947,0.15,0.35789473684210527,-0.10526300000000002
0.28,0.15,0.4789473684210526,0.4868421052631579,0.15526315789473685,0.35789473684210527,-0.09999984210526316
0.27,0.07,0.4789473684210526,0.46578947368421053,0.22631578947368422,0.3078947368421053,-0.028947210526315797
0.28,0.12,0.4763157894736842,0.49473684210526314,0.14736842105263157,0.35789473684210527,-0.10789457894736845
0.27,0.08,0.46842105263157896,0.45,0.24473684210526317,0.30526315789473685,-0.010526157894736848
0.26,0.06,0.46842105263157896,0.42894736842105263,0.30526315789473685,0.2657894736842105,0.05000015789473683
0.25,0.07,0.46842105263157896,0.3973684210526316,0.35789473684210527,0.24473684210526317,0.10263173684210525
0.27,0.1,0.46578947368421053,0.41578947368421054,0.2868421052631579,0.29736842105263156,0.03157910526315788
0.25,0.06,0.46578947368421053,0.42894736842105263,0.3157894736842105,0.25526315789473686,0.06052647368421049
0.26,0.07,0.46578947368421053,0.4026315789473684,0.3394736842105263,0.2578947368421053,0.0842106842105263
0.27,0.09,0.4631578947368421,0.4263157894736842,0.2710526315789474,0.3026315789473684,0.01578963157894736
0.27,0.11,0.4631578947368421,0.4052631578947368,0.29736842105263156,0.29736842105263156,0.04210542105263154
0.27,0.14,0.4631578947368421,0.3894736842105263,0.3157894736842105,0.29473684210526313,0.06052647368421049
0.27,0.13,0.4605263157894737,0.39210526315789473,0.3131578947368421,0.29473684210526313,0.05789489473684206
