round,ticket,hits,total,hit_rate,draw_count,sway_count,role_family,role_mode,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,cluster_changes,basis_changes
round12,ticket08,3,9,0.3333333333333333,0,1,draw,none,0,0,1,1,0,1,1,2,swing_heavy,2,3,2,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round12,ticket09,2,9,0.2222222222222222,0,1,draw,none,0,0,1,0,0,0,0,2,swing_heavy,2,3,2,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round12,ticket10,3,9,0.3333333333333333,2,2,swing,none,0,2,0,1,0,1,0,3,swing_heavy,2,3,2,draw=0 overlap=1 swing=1 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=2
round13,ticket02,6,13,0.4615384615384615,8,2,draw,none,1,0,1,2,0,2,2,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket03,5,13,0.3846153846153846,7,1,swing,none,1,0,0,1,0,1,1,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket05,3,13,0.2307692307692307,8,2,draw,none,1,1,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket06,3,13,0.2307692307692307,7,1,draw,skip,1,0,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket07,6,13,0.4615384615384615,7,3,swing,none,3,0,0,2,0,2,2,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round13,ticket08,4,13,0.3076923076923077,7,1,draw,none,0,1,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket09,4,13,0.3076923076923077,8,0,draw,none,0,0,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round13,ticket10,3,13,0.2307692307692307,7,1,swing,none,1,0,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket02,5,13,0.3846153846153846,6,1,draw,none,1,0,0,0,1,-1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket03,6,13,0.4615384615384615,5,0,swing,none,0,0,0,0,0,0,2,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket05,6,13,0.4615384615384615,6,1,draw,none,1,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket06,6,13,0.4615384615384615,5,0,draw,skip,0,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket07,4,13,0.3076923076923077,4,2,swing,none,0,1,1,0,2,-2,0,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round14,ticket08,6,13,0.4615384615384615,6,1,draw,none,1,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket09,6,13,0.4615384615384615,5,0,draw,none,0,0,0,0,0,0,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round14,ticket10,4,13,0.3076923076923077,3,3,swing,none,1,1,1,0,2,-2,0,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round15,ticket02,5,13,0.3846153846153846,5,3,draw,none,1,1,1,1,0,1,1,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round15,ticket03,3,13,0.2307692307692307,6,4,swing,none,3,0,1,0,1,-1,1,2,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round15,ticket05,4,13,0.3076923076923077,4,5,draw,none,2,2,1,2,2,0,1,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round15,ticket06,5,13,0.3846153846153846,5,1,draw,skip,1,0,0,1,0,1,1,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round15,ticket07,4,13,0.3076923076923077,6,2,swing,none,0,1,1,1,1,0,0,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round15,ticket08,4,13,0.3076923076923077,4,2,draw,none,0,1,1,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round15,ticket09,5,13,0.3846153846153846,4,2,draw,none,0,2,0,1,0,1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
