match_id,league,節,home_team,away_team,actual_result,predicted_result,match_type,match_type_signal_conflict,match_type_home_signal_count,match_type_away_signal_count,elo_diff_for_prob,match_type_xg_diff,match_type_rank_gap,match_type_sig_away_elo,match_type_sig_away_xg,match_type_sig_away_rank,match_type_sig_home_elo,match_type_sig_home_xg,match_type_sig_home_rank,prob_home_win,prob_draw,prob_away_win,decision_reason
j2_2025_03301503_愛媛_大分,j2,第７節第２日,愛媛,大分,A,A,neutral,False,0,1,-34.5016,0.10000000000000142,4,False,False,True,False,False,False,0.27699748321158,0.337707135845927,0.3852953809424931,ARGMAX
j2_2025_03301503_磐田_千葉,j2,第７節第２日,磐田,千葉,H,A,neutral,False,0,1,-25.3693,-9.899999999999999,2,False,True,False,False,False,False,0.2908740304136322,0.33912474473041476,0.37000122485595305,ARGMAX
j2_2025_03301604_徳島_大宮,j2,第７節第２日,徳島,大宮,H,A,neutral,False,0,1,-19.9021,-18.5,-2,False,True,False,False,False,False,0.29932484027128703,0.3397637866922869,0.36091137303642606,ARGMAX
j2_2025_04051303_仙台_秋田,j2,第８節第１日,仙台,秋田,H,H,home_strong,False,2,0,22.4276,8.600000000000001,-7,False,False,False,False,True,True,0.36771994026560795,0.339299597787167,0.29298046194722505,ARGMAX
j2_2025_04051333_甲府_いわき,j2,第８節第１日,甲府,いわき,H,A,away_strong,False,0,2,20.4472,-18.299999999999997,4,False,True,True,False,False,False,0.3644259601556497,0.33953501120985385,0.29603902863449644,J2_AWAY_STRONG_AWAY_RESTORE
j2_2025_04051403_千葉_水戸,j2,第８節第１日,千葉,水戸,H,H,neutral,False,1,0,39.055,12.099999999999994,2,False,False,False,False,True,False,0.39561915389545094,0.33651420216815847,0.26786664393639054,ARGMAX
j2_2025_04051403_山口_愛媛,j2,第８節第１日,山口,愛媛,D,H,neutral,False,1,0,25.1287,14.199999999999996,-1,False,False,False,False,True,False,0.3722238919393876,0.33894514705920115,0.28883096100141126,ARGMAX
j2_2025_04051403_山形_磐田,j2,第８節第１日,山形,磐田,D,A,away_strong,False,0,2,-26.8103,-2.6999999999999957,5,False,True,True,False,False,False,0.2886641621691754,0.3389300471327865,0.37240579069803814,ARGMAX
j2_2025_04051403_札幌_徳島,j2,第８節第１日,札幌,徳島,H,A,signal_conflict,True,1,1,-35.2021,4.100000000000001,8,False,False,True,False,True,False,0.2759459738829029,0.3375804882946212,0.386473537822476,ARGMAX
j2_2025_04051403_鳥栖_藤枝,j2,第８節第１日,鳥栖,藤枝,H,A,home_strong,False,2,0,-26.9612,2.8000000000000043,-7,False,False,False,False,True,True,0.28843319605941764,0.338909028947166,0.3726577749934164,ARGMAX
j2_2025_04051404_大宮_大分,j2,第８節第１日,大宮,大分,D,H,home_strong,False,2,0,17.853,27.9,-10,False,False,False,False,True,True,0.36012202282687084,0.33981196592199514,0.300066011251134,ARGMAX
j2_2025_04061303_熊本_富山,j2,第８節第２日,熊本,富山,D,D,neutral,False,1,0,6.1306,2.5,1,False,False,False,False,True,False,0.3408482448766082,0.34061600269738107,0.3185357524260107,NARROW_DRAW_OVERRIDE
j2_2025_04061333_今治_長崎,j2,第８節第２日,今治,長崎,H,D,away_strong,False,0,2,-4.3655,-2.6999999999999957,9,False,True,True,False,False,False,0.3238713259564521,0.3407102147221078,0.3354184593214401,NARROW_DRAW_OVERRIDE
j2_2025_04121303_仙台_今治,j2,第９節第１日,仙台,今治,D,D,signal_conflict,True,1,1,-3.5478,-6.700000000000003,-4,False,True,False,False,False,True,0.32518333433380064,0.34072416099716774,0.33409250466903156,NARROW_DRAW_OVERRIDE
j2_2025_04121403_いわき_山形,j2,第９節第１日,いわき,山形,A,A,neutral,False,1,0,-31.3466,11.699999999999996,-1,False,False,False,False,True,False,0.28175656296697477,0.3382460589426795,0.3799973780903458,ARGMAX
j2_2025_04121403_水戸_札幌,j2,第９節第１日,水戸,札幌,H,A,signal_conflict,True,1,1,9.752,-1.3999999999999986,-11,False,True,False,False,False,True,0.3467698760274386,0.34044611222197335,0.31278401175058806,J2_SIGNAL_CONFLICT_AWAY_RESTORE
j2_2025_04131403_大分_徳島,j2,第９節第２日,大分,徳島,D,D,away_strong,False,0,2,4.3988,-9.399999999999999,12,False,True,True,False,False,False,0.33802753595711654,0.34067235922459826,0.3213001048182852,NARROW_DRAW_OVERRIDE
j2_2025_04131403_富山_山口,j2,第９節第２日,富山,山口,D,H,neutral,False,0,1,27.1509,-7.100000000000001,-2,False,True,False,False,False,False,0.3756038308875305,0.3386546806799253,0.2857414884325442,ARGMAX
j2_2025_04131403_秋田_大宮,j2,第９節第２日,秋田,大宮,A,A,away_strong,False,0,2,-35.0818,-20.200000000000003,8,False,True,True,False,False,False,0.2761264895841545,0.33760242661943585,0.38627108379640956,ARGMAX
j2_2025_04131403_藤枝_千葉,j2,第９節第２日,藤枝,千葉,A,A,away_strong,False,0,2,-31.26,-14.0,12,False,True,True,False,False,False,0.2818876764623745,0.3382601178637008,0.37985220567392464,ARGMAX
j2_2025_04131405_長崎_鳥栖,j2,第９節第２日,長崎,鳥栖,A,H,home_strong,False,2,0,21.7034,12.699999999999996,-6,False,False,False,False,True,True,0.36651463335503665,0.3393880839589566,0.29409728268600677,ARGMAX
j2_2025_04131503_磐田_熊本,j2,第９節第２日,磐田,熊本,D,H,home_strong,False,2,0,26.4923,4.600000000000001,-13,False,False,False,False,True,True,0.37450226742476717,0.33875163914314554,0.2867460934320873,ARGMAX
j2_2025_04131603_愛媛_甲府,j2,第９節第２日,愛媛,甲府,D,A,away_strong,False,0,2,-35.1911,-4.899999999999999,7,False,True,True,False,False,False,0.27596250794539845,0.3375825010932243,0.3864549909613772,ARGMAX
j2_2025_04191403_山形_愛媛,j2,第１０節第１日,山形,愛媛,A,H,home_strong,False,3,0,50.6455,11.5,-10,False,False,False,True,True,True,0.4152545863027003,0.3337381195384053,0.25100729415889445,ARGMAX
j2_2025_04191403_鳥栖_山口,j2,第１０節第１日,鳥栖,山口,D,A,signal_conflict,True,1,1,32.7468,-1.2999999999999972,-11,False,True,False,False,False,True,0.38498911163111404,0.3377396549059286,0.2772712334629574,J2_SIGNAL_CONFLICT_AWAY_RESTORE
j2_2025_04191404_甲府_長崎,j2,第１０節第１日,甲府,長崎,D,D,away_strong,False,0,2,-9.5954,-20.699999999999996,11,False,True,True,False,False,False,0.31552565877739547,0.34053601652727555,0.3439383246953289,NARROW_DRAW_OVERRIDE
j2_2025_04201303_熊本_仙台,j2,第１０節第２日,熊本,仙台,A,A,away_strong,False,0,2,-11.384,-6.600000000000001,11,False,True,True,False,False,False,0.3126901605719711,0.340442745019193,0.34686709440883595,ARGMAX
j2_2025_04201403_今治_大宮,j2,第１０節第２日,今治,大宮,D,D,away_strong,False,0,2,-0.9289,-4.899999999999999,5,False,True,True,False,False,False,0.3293977544258282,0.3407446192062329,0.32985762636793897,NARROW_DRAW_OVERRIDE
j2_2025_04201403_千葉_大分,j2,第１０節第２日,千葉,大分,H,H,home_strong,False,3,0,46.7206,24.199999999999996,-13,False,False,False,True,True,True,0.40859330097287005,0.33475315480845524,0.25665354421867465,ARGMAX
j2_2025_04201403_富山_いわき,j2,第１０節第２日,富山,いわき,A,A,away_strong,False,1,2,48.1953,-16.1,8,False,True,True,True,False,False,0.41109498581567944,0.33438067669395105,0.2545243374903695,J2_AWAY_STRONG_AWAY_RESTORE
j2_2025_04201403_徳島_水戸,j2,第１０節第２日,徳島,水戸,A,D,away_strong,False,0,2,8.8869,-2.700000000000003,3,False,True,True,False,False,False,0.34535249561179077,0.34049309234164105,0.3141544120465683,NARROW_DRAW_OVERRIDE
j2_2025_04201403_札幌_藤枝,j2,第１０節第２日,札幌,藤枝,H,A,home_strong,False,2,0,-19.004,3.3000000000000043,-3,False,False,False,False,True,True,0.3007228034701244,0.3398536124787318,0.3594235840511437,ARGMAX
j2_2025_04201403_秋田_磐田,j2,第１０節第２日,秋田,磐田,H,A,away_strong,False,0,3,-45.2674,-6.600000000000001,9,True,True,True,False,False,False,0.261050884149628,0.3354835590639066,0.4034655567864655,ARGMAX
j2_2025_04251903_仙台_愛媛,j2,第１１節第１日,仙台,愛媛,D,H,home_strong,False,3,0,62.6682,16.199999999999996,-13,False,False,False,True,True,True,0.43570493533986854,0.33016465401548745,0.23413041064464407,ARGMAX
j2_2025_04251903_千葉_秋田,j2,第１１節第１日,千葉,秋田,H,H,home_strong,False,3,0,76.4079,16.5,-11,False,False,False,True,True,True,0.4590870776719497,0.32525998935632366,0.2156529329717267,ARGMAX
j2_2025_04251903_大宮_札幌,j2,第１１節第１日,大宮,札幌,H,H,home_strong,False,3,0,43.9915,14.399999999999999,-6,False,False,False,True,True,True,0.4039681874352089,0.3354139385802013,0.26061787398458974,ARGMAX
j2_2025_04251903_水戸_甲府,j2,第１１節第１日,水戸,甲府,D,H,home_strong,False,2,0,20.18,7.100000000000001,-12,False,False,False,False,True,True,0.3639819901013987,0.3395651911543916,0.29645281874420976,ARGMAX
j2_2025_04251903_磐田_大分,j2,第１１節第１日,磐田,大分,A,H,home_strong,False,2,0,17.3545,14.299999999999997,-11,False,False,False,False,True,True,0.35929641832052667,0.3398610955893398,0.30084248609013364,ARGMAX
j2_2025_04251903_藤枝_熊本,j2,第１１節第１日,藤枝,熊本,A,D,neutral,False,1,0,1.3298,0.5,-3,False,False,False,False,False,True,0.3330473286007176,0.3407326277947706,0.3262200436045119,NARROW_DRAW_OVERRIDE
j2_2025_04251903_長崎_いわき,j2,第１１節第１日,長崎,いわき,A,H,home_strong,False,3,0,45.5499,2.3999999999999986,-7,False,False,False,True,True,True,0.4066085130460767,0.3350411610850942,0.25835032586882906,ARGMAX
j2_2025_04251903_鳥栖_山形,j2,第１１節第１日,鳥栖,山形,H,H,neutral,False,1,0,14.4292,1.3999999999999986,-2,False,False,False,False,True,False,0.3544619703121623,0.3401227232298601,0.3054153064579776,ARGMAX
j2_2025_04261403_山口_今治,j2,第１１節第２日,山口,今治,A,A,away_strong,False,0,3,-43.414,-8.700000000000003,8,True,True,True,False,False,False,0.2637629666322654,0.3359082892628153,0.4003287441049192,ARGMAX
j2_2025_04261403_徳島_富山,j2,第１１節第２日,徳島,富山,H,H,home_strong,False,2,0,12.7974,2.200000000000003,-13,False,False,False,False,True,True,0.35177277883932917,0.34024884105319375,0.3079783801074771,ARGMAX
j2_2025_04291403_いわき_大宮,j2,第１２節第１日,いわき,大宮,H,A,away_strong,False,0,3,-58.8418,-4.600000000000001,3,True,True,True,False,False,False,0.2416298369439805,0.3318547674721381,0.42651539558388146,ARGMAX
