team,opponent,matches,wins,draws,losses,points,goal_diff,points_per_match,gd_per_match,home_points_per_match,away_points_per_match,weighted_points_per_match,weighted_gd_per_match,tendency,confidence
広島,横浜FC,2,2,0,0,6.0,5.0,3.0,2.5,3.0,3.0,3.0,2.819,得意,low
広島,東京Ｖ,2,2,0,0,6.0,4.0,3.0,2.0,3.0,3.0,3.0,2.187,得意,low
広島,湘南,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
広島,町田,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
広島,福岡,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
広島,Ｇ大阪,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
広島,FC東京,2,1,1,0,4.0,3.0,2.0,1.5,1.0,3.0,1.728,1.091,得意,low
広島,鹿島,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.86,0.43,得意,low
広島,Ｃ大阪,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.724,0.362,得意,low
広島,浦和,2,1,0,1,3.0,2.0,1.5,1.0,3.0,0.0,2.045,1.727,互角/中間,low
広島,新潟,2,1,0,1,3.0,1.0,1.5,0.5,0.0,3.0,1.735,0.735,互角/中間,low
広島,岡山,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,1.741,0.161,互角/中間,low
広島,川崎Ｆ,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,2.007,0.338,互角/中間,low
広島,横浜FM,2,1,0,1,3.0,-2.0,1.5,-1.0,3.0,0.0,0.843,-1.876,互角/中間,low
広島,柏,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
広島,清水,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
広島,京都,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.656,-0.344,苦手,low
広島,名古屋,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
広島,神戸,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
新潟,横浜FM,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.227,0.614,得意,low
新潟,神戸,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,1.628,0.314,得意,low
新潟,広島,2,1,0,1,3.0,-1.0,1.5,-0.5,0.0,3.0,1.265,-0.735,互角/中間,low
新潟,湘南,2,1,0,1,3.0,-2.0,1.5,-1.0,3.0,0.0,1.034,-1.622,互角/中間,low
新潟,FC東京,2,0,1,1,1.0,-1.0,0.5,-0.5,0.0,1.0,0.698,-0.302,苦手,low
新潟,岡山,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.631,-0.369,苦手,low
新潟,東京Ｖ,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.297,-0.703,苦手,low
新潟,横浜FC,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.351,-0.649,苦手,low
新潟,浦和,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.394,-0.606,苦手,low
新潟,川崎Ｆ,2,0,1,1,1.0,-2.0,0.5,-1.0,1.0,0.0,0.55,-0.9,苦手,low
新潟,柏,2,0,1,1,1.0,-2.0,0.5,-1.0,0.0,1.0,0.302,-1.397,苦手,low
新潟,Ｃ大阪,2,0,1,1,1.0,-2.0,0.5,-1.0,1.0,0.0,0.349,-1.303,苦手,low
新潟,Ｇ大阪,2,0,1,1,1.0,-2.0,0.5,-1.0,1.0,0.0,0.332,-1.337,苦手,low
新潟,名古屋,2,0,1,1,1.0,-3.0,0.5,-1.5,1.0,0.0,0.609,-1.173,苦手,low
新潟,京都,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
新潟,福岡,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
新潟,鹿島,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
新潟,清水,2,0,0,2,0.0,-3.0,0.0,-1.5,0.0,0.0,0.0,-1.314,苦手,low
新潟,町田,2,0,0,2,0.0,-5.0,0.0,-2.5,0.0,0.0,0.0,-2.802,苦手,low
東京Ｖ,岡山,2,2,0,0,6.0,3.0,3.0,1.5,3.0,3.0,3.0,1.635,得意,low
東京Ｖ,横浜FC,2,1,1,0,4.0,2.0,2.0,1.0,3.0,1.0,1.78,0.78,得意,low
東京Ｖ,名古屋,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.787,0.394,得意,low
東京Ｖ,川崎Ｆ,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.134,0.567,得意,low
東京Ｖ,新潟,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.406,0.703,得意,low
東京Ｖ,横浜FM,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.238,0.619,得意,low
東京Ｖ,京都,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,1.262,-0.159,互角/中間,low
東京Ｖ,町田,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,1.095,-0.27,互角/中間,low
東京Ｖ,Ｃ大阪,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,1.336,-0.109,互角/中間,low
東京Ｖ,湘南,2,1,0,1,3.0,-1.0,1.5,-0.5,0.0,3.0,1.909,-0.091,互角/中間,low
東京Ｖ,福岡,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
東京Ｖ,FC東京,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.345,-0.655,苦手,low
東京Ｖ,浦和,2,0,1,1,1.0,-2.0,0.5,-1.0,1.0,0.0,0.638,-0.724,苦手,low
東京Ｖ,柏,2,0,1,1,1.0,-3.0,0.5,-1.5,0.0,1.0,0.425,-1.724,苦手,low
東京Ｖ,清水,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
東京Ｖ,広島,2,0,0,2,0.0,-4.0,0.0,-2.0,0.0,0.0,0.0,-2.187,苦手,low
東京Ｖ,Ｇ大阪,2,0,0,2,0.0,-4.0,0.0,-2.0,0.0,0.0,0.0,-2.491,苦手,low
東京Ｖ,神戸,2,0,0,2,0.0,-5.0,0.0,-2.5,0.0,0.0,0.0,-2.959,苦手,low
東京Ｖ,鹿島,2,0,0,2,0.0,-5.0,0.0,-2.5,0.0,0.0,0.0,-1.759,苦手,low
柏,Ｇ大阪,2,2,0,0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.717,得意,low
柏,浦和,2,2,0,0,6.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,得意,low
柏,横浜FM,2,2,0,0,6.0,3.0,3.0,1.5,3.0,3.0,3.0,1.366,得意,low
柏,清水,2,2,0,0,6.0,3.0,3.0,1.5,3.0,3.0,3.0,1.551,得意,low
柏,湘南,2,2,0,0,6.0,3.0,3.0,1.5,3.0,3.0,3.0,1.606,得意,low
