test_round,train_round_min,train_round_max,draw_boost,temperature,home_shift,train_N,train_logloss,train_brier,train_accuracy,objective
7,1,6,1.08,1.05,0.01,137,1.0968403408035508,0.6675893162234803,0.34306569343065696,1.2637376698594207
7,1,6,1.06,1.05,0.01,137,1.0968594318673819,0.6675819544934888,0.3284671532846715,1.263754920490754
7,1,6,1.1,1.05,0.01,137,1.0968929308655349,0.6676455569901689,0.32116788321167883,1.263804320113077
7,1,6,1.04,1.05,0.01,137,1.0969539694400923,0.6676255518190509,0.35766423357664234,1.263860357394855
7,1,6,1.0,1.1,0.01,137,1.0970855005458016,0.6675080815849254,0.34306569343065696,1.2639625209420329
7,1,6,1.02,1.05,0.01,137,1.0971279619111582,0.6677222807594253,0.3357664233576642,1.2640585321010145
7,1,6,1.06,1.0,0.01,137,1.0972615123257836,0.6680406936716176,0.3284671532846715,1.264271685743688
7,1,6,1.08,1.0,0.01,137,1.0972688222207967,0.6680666314567997,0.34306569343065696,1.2642854800849965
7,1,6,1.0,1.05,0.01,137,1.09738568070559,0.6678744112434544,0.34306569343065696,1.2643542835164536
7,1,6,1.04,1.0,0.01,137,1.0973369514998366,0.6680707764908436,0.35766423357664234,1.2643546456225474
7,1,6,1.1,1.0,0.01,137,1.097354758671718,0.6681463277659966,0.32116788321167883,1.2643913406132172
7,1,6,1.02,1.0,0.01,137,1.097499526471114,0.6681592376953951,0.3357664233576642,1.2645393358949628
7,1,6,1.0,1.0,0.01,137,1.0977539098062532,0.668308535312994,0.34306569343065696,1.2648310436345016
7,1,6,1.06,0.95,0.01,137,1.0977582145242277,0.6685887485918192,0.3284671532846715,1.2649054016721826
7,1,6,1.08,0.95,0.01,137,1.0977975961867357,0.6686370410128888,0.34306569343065696,1.2649568564399578
7,1,6,1.04,0.95,0.01,137,1.0978100552963257,0.6686023608885817,0.35766423357664234,1.2649606455184712
7,1,6,1.1,0.95,0.01,137,1.0979236650184636,0.66874476750581,0.32116788321167883,1.2651098568949162
7,1,6,1.02,0.95,0.01,137,1.0979579420958014,0.6686804468252703,0.3357664233576642,1.265128053802119
7,1,6,1.0,0.95,0.01,137,1.09820701024485,0.6688256776828826,0.34306569343065696,1.2654134296655706
7,1,6,1.08,1.1,0.0,137,1.0988795254007107,0.6687319333677078,0.32116788321167883,1.2660625087426376
7,1,6,1.1,1.1,0.0,137,1.098903839563828,0.6687610007161606,0.3284671532846715,1.266094089742868
7,1,6,1.06,1.1,0.0,137,1.0989208701877733,0.6687475918786006,0.3284671532846715,1.2661077681574233
7,1,6,1.04,1.1,0.0,137,1.0990313282849864,0.6688098971910803,0.3284671532846715,1.2662338025827564
7,1,6,1.02,1.1,0.0,137,1.0992145783218257,0.6689208593240199,0.34306569343065696,1.2664447931528307
7,1,6,1.08,1.05,0.0,137,1.0993087419857197,0.6691865503031514,0.32116788321167883,1.2666053795615075
7,1,6,1.06,1.05,0.0,137,1.0993280769052427,0.6691870223227455,0.3284671532846715,1.266624832485929
7,1,6,1.1,1.05,0.0,137,1.0993610916953782,0.6692350264671018,0.3284671532846715,1.2666698483121537
7,1,6,1.04,1.05,0.0,137,1.0994228619181206,0.6692385231734915,0.3284671532846715,1.2667324927114934
7,1,6,1.0,1.1,0.0,137,1.0994745417950544,0.669082582356381,0.291970802919708,1.2667451873841498
7,1,6,1.02,1.05,0.0,137,1.0995971054976144,0.669343226035829,0.34306569343065696,1.2669329120065715
7,1,6,1.0,1.05,0.0,137,1.0998550791553148,0.6695034014509168,0.291970802919708,1.267230929518044
7,1,6,1.06,1.0,0.0,137,1.0998160420294296,0.6697030999183708,0.3284671532846715,1.2672418170090223
7,1,6,1.08,1.0,0.0,137,1.0998233519244425,0.6697208960354115,0.32116788321167883,1.2672535759332955
7,1,6,1.04,1.0,0.0,137,1.0998914812034826,0.6697413888185129,0.3284671532846715,1.2673268284081107
7,1,6,1.1,1.0,0.0,137,1.099909288375364,0.6697925148060322,0.3284671532846715,1.2673574170768722
7,1,6,1.02,1.0,0.0,137,1.1000540561747598,0.669838120776321,0.34306569343065696,1.26751358636884
7,1,6,1.0,1.0,0.0,137,1.100308439509899,0.6699957540534097,0.291970802919708,1.2678073780232515
7,1,6,1.06,0.95,0.0,137,1.1004039243501234,0.6703127325385481,0.3284671532846715,1.2679821074847604
7,1,6,1.08,0.95,0.0,137,1.1004436365371018,0.6703526102904473,0.32116788321167883,1.2680317891097137
7,1,6,1.04,0.95,0.0,137,1.10045542982594,0.6703348154471439,0.3284671532846715,1.268039133687726
7,1,6,1.1,0.95,0.0,137,1.100570031216358,0.6704519782091147,0.3284671532846715,1.2681830257686366
7,1,6,1.02,0.95,0.0,137,1.1006029764601346,0.6704214277456699,0.34306569343065696,1.2682083333965521
7,1,6,1.0,0.95,0.0,137,1.1008516994753315,0.6705752404794793,0.291970802919708,1.2684955095952013
7,1,6,1.08,1.1,-0.01,137,1.1017730994607309,0.6705943112894454,0.31386861313868614,1.2694216772830922
7,1,6,1.1,1.1,-0.01,137,1.1017973077171437,0.6706122777712095,0.32116788321167883,1.2694503771599461
7,1,6,1.06,1.1,-0.01,137,1.1018145518825184,0.6706212207269833,0.31386861313868614,1.2694698570642642
7,1,6,1.04,1.1,-0.01,137,1.1019251193874313,0.670694930366573,0.29927007299270075,1.2695988519790746
7,1,6,1.02,1.1,-0.01,137,1.1021084806515775,0.6708174536778534,0.2773722627737226,1.2698128440710408
7,1,6,1.08,1.05,-0.01,137,1.1023330905394,0.6711303833021317,0.31386861313868614,1.270115686364933
7,1,6,1.0,1.1,-0.01,137,1.1023685572201174,0.670990898305984,0.26277372262773724,1.2701162817966134
7,1,6,1.06,1.05,-0.01,137,1.1023524879707027,0.6711430894257587,0.31386861313868614,1.2701382603271425
7,1,6,1.1,1.05,-0.01,137,1.1023853787430231,0.6711667850428137,0.32116788321167883,1.2701770750037265
7,1,6,1.04,1.05,-0.01,137,1.1024473365263054,0.6712069873822676,0.29927007299270075,1.2702490833718723
7,1,6,1.02,1.05,-0.01,137,1.1026216447055466,0.6713242537711693,0.2773722627737226,1.270452708148339
7,1,6,1.0,1.05,-0.01,137,1.1028796840470096,0.6714971626547894,0.26277372262773724,1.270753974710707
