節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１５節第１日,j1_2026_05061300_長崎_岡山,2026-05-06 13:00:00,長崎,岡山,,,-1.0,False,0.147,0.209,0.645,A,,False,A
第１５節第１日,j1_2026_05061300_清水_Ｃ大阪,2026-05-06 13:00:00,清水,Ｃ大阪,,,-2.0,False,0.13,0.203,0.667,A,,False,A
第１５節第１日,j1_2026_05061900_柏_浦和,2026-05-06 19:00:00,柏,浦和,,,-2.0,False,0.079,0.182,0.739,A,,False,A
第１５節第１日,j1_2026_05061700_川崎Ｆ_東京Ｖ,2026-05-06 17:00:00,川崎Ｆ,東京Ｖ,,,0.0,False,0.267,0.239,0.494,D,,False,D
第１５節第１日,j1_2026_05061600_町田_横浜FM,2026-05-06 16:00:00,町田,横浜FM,,,1.0,True,0.677,0.2,0.122,H,,False,H
第１５節第１日,j1_2026_05061600_鹿島_水戸,2026-05-06 16:00:00,鹿島,水戸,,,2.5,True,0.64,0.21,0.15,H,,False,H
第１５節第１日,j1_2026_05061500_FC東京_千葉,2026-05-06 15:00:00,FC東京,千葉,,,1.0,True,0.553,0.228,0.219,H,,False,H
第１５節第１日,j1_2026_05061400_名古屋_Ｇ大阪,2026-05-06 14:00:00,名古屋,Ｇ大阪,,,2.0,True,0.571,0.224,0.205,H,,False,H
第１５節第１日,j1_2026_05061500_広島_神戸,2026-05-06 15:00:00,広島,神戸,,,0.0,False,0.375,0.259,0.366,D,,False,D
第１６節第１日,j1_2026_05091400_水戸_浦和,2026-05-09 14:00:00,水戸,浦和,,,-2.0,False,0.141,0.207,0.653,A,,False,A
第１６節第２日,j1_2026_05101600_名古屋_京都,2026-05-10 16:00:00,名古屋,京都,,,2.0,True,0.608,0.217,0.175,H,,False,H
第１６節第２日,j1_2026_05101500_Ｇ大阪_広島,2026-05-10 15:00:00,Ｇ大阪,広島,,,-2.0,False,0.217,0.227,0.555,D,,False,D
第１６節第２日,j1_2026_05101400_神戸_岡山,2026-05-10 14:00:00,神戸,岡山,,,2.0,True,0.561,0.226,0.212,H,,False,H
