match_id,datetime,stadium,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at
j1_2026_04251600_広島_Ｃ大阪,2026-04-25 16:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_04251830_長崎_Ｇ大阪,2026-04-25 18:30:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_04261400_神戸_京都,2026-04-26 14:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_04291300_東京Ｖ_鹿島,2026-04-29 13:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_04291300_清水_長崎,2026-04-29 13:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_04291400_福岡_広島,2026-04-29 14:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_04291400_神戸_Ｃ大阪,2026-04-29 14:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_04291400_千葉_横浜FM,2026-04-29 14:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_04291500_浦和_川崎Ｆ,2026-04-29 15:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_04291500_名古屋_岡山,2026-04-29 15:00:00,パロ瑞穂,,,,,,2026-02-13T00:03:17
j1_2026_04291500_京都_Ｇ大阪,2026-04-29 15:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_04291600_柏_FC東京,2026-04-29 16:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_04291600_水戸_町田,2026-04-29 16:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_05021255_岡山_広島,2026-05-02 12:55:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_05021400_FC東京_川崎Ｆ,2026-05-02 14:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_05021400_横浜FM_水戸,2026-05-02 14:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_05021400_京都_清水,2026-05-02 14:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_05021500_Ｇ大阪_神戸,2026-05-02 15:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_05021600_浦和_千葉,2026-05-02 16:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_05031400_東京Ｖ_柏,2026-05-03 14:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_05031500_Ｃ大阪_福岡,2026-05-03 15:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_05031600_鹿島_町田,2026-05-03 16:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_05031700_長崎_名古屋,2026-05-03 17:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_05061300_清水_Ｃ大阪,2026-05-06 13:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_05061300_長崎_岡山,2026-05-06 13:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_05061400_名古屋_Ｇ大阪,2026-05-06 14:00:00,豊田ス,,,,,,2026-02-13T00:03:17
j1_2026_05061400_福岡_京都,2026-05-06 14:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_05061500_FC東京_千葉,2026-05-06 15:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_05061500_広島_神戸,2026-05-06 15:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_05061600_鹿島_水戸,2026-05-06 16:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_05061600_町田_横浜FM,2026-05-06 16:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_05061700_川崎Ｆ_東京Ｖ,2026-05-06 17:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
j1_2026_05061900_柏_浦和,2026-05-06 19:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_05091400_水戸_浦和,2026-05-09 14:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_05091600_Ｃ大阪_長崎,2026-05-09 16:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_05101400_横浜FM_鹿島,2026-05-10 14:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_05101400_清水_福岡,2026-05-10 14:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_05101400_神戸_岡山,2026-05-10 14:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_05101500_FC東京_東京Ｖ,2026-05-10 15:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_05101500_Ｇ大阪_広島,2026-05-10 15:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_05101600_柏_川崎Ｆ,2026-05-10 16:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_05101600_名古屋_京都,2026-05-10 16:00:00,豊田ス,,,,,,2026-02-13T00:03:17
j1_2026_05101700_千葉_町田,2026-05-10 17:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_05161400_水戸_東京Ｖ,2026-05-16 14:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_05161600_浦和_FC東京,2026-05-16 16:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_05161700_横浜FM_柏,2026-05-16 17:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_05171300_長崎_神戸,2026-05-17 13:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_05171400_千葉_鹿島,2026-05-17 14:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_05171400_岡山_清水,2026-05-17 14:00:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_05171500_京都_広島,2026-05-17 15:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_05171500_Ｃ大阪_名古屋,2026-05-17 15:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_05171600_Ｇ大阪_福岡,2026-05-17 16:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_05171900_川崎Ｆ_町田,2026-05-17 19:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
j1_2026_05221930_町田_浦和,2026-05-22 19:30:00,MUFG国立,,,,,,2026-02-13T00:03:17
j1_2026_05231400_広島_名古屋,2026-05-23 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_05231400_福岡_神戸,2026-05-23 14:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_05231730_鹿島_FC東京,2026-05-23 17:30:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_05231800_柏_千葉,2026-05-23 18:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_05231900_京都_長崎,2026-05-23 19:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_05241255_岡山_Ｃ大阪,2026-05-24 12:55:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_05241400_水戸_川崎Ｆ,2026-05-24 14:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_05241400_東京Ｖ_横浜FM,2026-05-24 14:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_05241700_清水_Ｇ大阪,2026-05-24 17:00:00,MUFG国立,,,,,,2026-02-13T00:03:17
j1_2026_05301400_広島_未定,2026-05-30 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_05301500_Ｃ大阪_未定,2026-05-30 15:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_05301500_神戸_未定,2026-05-30 15:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_05301600_Ｇ大阪_未定,2026-05-30 16:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_05301600_福岡_未定,2026-05-30 16:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_05301700_長崎_未定,2026-05-30 17:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_05301900_京都_未定,2026-05-30 19:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_05311400_清水_未定,2026-05-31 14:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_06061400_千葉_未定,2026-06-06 14:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_06061400_FC東京_未定,2026-06-06 14:00:00,MUFG国立,,,,,,2026-02-13T00:03:17
j1_2026_06061500_鹿島_未定,2026-06-06 15:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_06061500_水戸_未定,2026-06-06 15:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_06061500_町田_未定,2026-06-06 15:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_06061600_浦和_未定,2026-06-06 16:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_06061600_東京Ｖ_未定,2026-06-06 16:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_06061700_横浜FM_未定,2026-06-06 17:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_06061800_柏_未定,2026-06-06 18:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_06061900_川崎Ｆ_未定,2026-06-06 19:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
