節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１４節第２日,j1_2025_05141903_横浜FM_柏,2025-05-14 19:03:00,横浜FM,柏,0,2,-0.4211,False,0.227,0.409,0.364,A,A,True,A
第１５節第１日,j1_2025_05061403_浦和_Ｇ大阪,2025-05-06 14:03:00,浦和,Ｇ大阪,0,1,1.1579,True,0.314,0.417,0.269,H,A,False,H
第１５節第１日,j1_2025_05061403_福岡_鹿島,2025-05-06 14:03:00,福岡,鹿島,0,1,-0.2631,False,0.297,0.415,0.288,H,A,False,H
第１５節第１日,j1_2025_05061403_神戸_Ｃ大阪,2025-05-06 14:03:00,神戸,Ｃ大阪,1,3,0.6842,True,0.306,0.427,0.267,H,A,False,H
第１５節第１日,j1_2025_05061503_名古屋_岡山,2025-05-06 15:03:00,名古屋,岡山,0,0,0.4737,True,0.316,0.409,0.275,H,D,False,H
第１５節第１日,j1_2025_05061603_東京Ｖ_横浜FC,2025-05-06 16:03:00,東京Ｖ,横浜FC,2,0,0.7369,True,0.335,0.384,0.281,H,H,True,H
第１５節第１日,j1_2025_05061603_柏_清水,2025-05-06 16:03:00,柏,清水,1,0,1.1579,True,0.321,0.422,0.256,H,H,True,H
第１５節第２日,j1_2025_05071903_湘南_広島,2025-05-07 19:03:00,湘南,広島,0,1,-0.6842,False,0.233,0.416,0.35,A,A,True,A
第１５節第２日,j1_2025_05071903_町田_京都,2025-05-07 19:03:00,町田,京都,1,2,-0.2632,False,0.286,0.421,0.293,A,A,True,A
第１５節第３日,j1_2025_06251903_川崎Ｆ_新潟,2025-06-25 19:03:00,川崎Ｆ,新潟,3,1,1.1052,True,0.389,0.408,0.202,H,H,True,H
第１５節第３日,j1_2025_06251933_横浜FM_FC東京,2025-06-25 19:33:00,横浜FM,FC東京,0,3,0.2105,True,0.261,0.411,0.328,A,A,True,A
第１６節第１日,j1_2025_05101403_横浜FC_福岡,2025-05-10 14:03:00,横浜FC,福岡,1,0,0.1053,True,0.233,0.399,0.368,A,H,False,A
第１６節第１日,j1_2025_05101503_FC東京_神戸,2025-05-10 15:03:00,FC東京,神戸,1,0,-0.0526,False,0.278,0.422,0.3,A,H,False,A
第１６節第１日,j1_2025_05101603_柏_岡山,2025-05-10 16:03:00,柏,岡山,2,0,1.1053,True,0.381,0.406,0.214,H,H,True,H
第１６節第２日,j1_2025_05111308_清水_町田,2025-05-11 13:08:00,清水,町田,2,2,-0.2631,False,0.309,0.422,0.269,H,D,False,H
第１６節第２日,j1_2025_05111310_鹿島_川崎Ｆ,2025-05-11 13:10:00,鹿島,川崎Ｆ,2,1,0.8421,True,0.282,0.424,0.294,A,H,False,A
第１６節第２日,j1_2025_05111403_京都_名古屋,2025-05-11 14:03:00,京都,名古屋,1,1,1.0,True,0.352,0.414,0.234,H,D,False,H
第１６節第２日,j1_2025_05111408_新潟_浦和,2025-05-11 14:08:00,新潟,浦和,1,1,-0.1052,False,0.254,0.406,0.34,A,D,False,A
第１６節第２日,j1_2025_05111503_東京Ｖ_湘南,2025-05-11 15:03:00,東京Ｖ,湘南,0,2,0.8422,True,0.293,0.388,0.319,A,A,True,A
第１６節第２日,j1_2025_05111503_Ｇ大阪_広島,2025-05-11 15:03:00,Ｇ大阪,広島,0,1,0.1579,True,0.265,0.431,0.304,A,A,True,A
第１６節第２日,j1_2025_05111503_Ｃ大阪_横浜FM,2025-05-11 15:03:00,Ｃ大阪,横浜FM,1,0,0.6842,True,0.382,0.41,0.208,H,H,True,H
第１７節第１日,j1_2025_05171403_広島_東京Ｖ,2025-05-17 14:03:00,広島,東京Ｖ,2,1,0.9474,True,0.424,0.398,0.178,H,H,True,H
第１７節第１日,j1_2025_05171403_神戸_Ｇ大阪,2025-05-17 14:03:00,神戸,Ｇ大阪,3,2,0.7895,True,0.318,0.421,0.261,H,H,True,H
第１７節第１日,j1_2025_05171403_横浜FM_京都,2025-05-17 14:03:00,横浜FM,京都,0,3,-0.4737,False,0.223,0.406,0.371,A,A,True,A
第１７節第１日,j1_2025_05171404_町田_柏,2025-05-17 14:04:00,町田,柏,3,0,-0.2106,False,0.27,0.422,0.308,A,H,False,A
第１７節第１日,j1_2025_05171435_福岡_名古屋,2025-05-17 14:35:00,福岡,名古屋,1,1,0.7369,True,0.324,0.415,0.261,H,D,False,H
第１７節第１日,j1_2025_05171503_湘南_横浜FC,2025-05-17 15:03:00,湘南,横浜FC,0,1,0.4211,True,0.366,0.389,0.245,H,A,False,H
第１７節第１日,j1_2025_05171504_鹿島_清水,2025-05-17 15:04:00,鹿島,清水,1,0,1.2632,True,0.314,0.419,0.267,H,H,True,H
第１７節第１日,j1_2025_05171603_浦和_FC東京,2025-05-17 16:03:00,浦和,FC東京,3,2,1.0526,True,0.313,0.417,0.27,H,H,True,H
第１７節第２日,j1_2025_05181503_川崎Ｆ_Ｃ大阪,2025-05-18 15:03:00,川崎Ｆ,Ｃ大阪,2,0,0.421,True,0.309,0.431,0.26,H,H,True,H
第１７節第２日,j1_2025_05181504_岡山_新潟,2025-05-18 15:04:00,岡山,新潟,2,1,0.8421,True,0.331,0.401,0.269,H,H,True,H
第１８節第１日,j1_2025_05241503_Ｃ大阪_福岡,2025-05-24 15:03:00,Ｃ大阪,福岡,2,0,0.5263,True,0.328,0.423,0.25,H,H,True,H
第１８節第１日,j1_2025_05241733_名古屋_浦和,2025-05-24 17:33:00,名古屋,浦和,2,1,0.6316,True,0.282,0.415,0.303,A,H,False,A
第１８節第２日,j1_2025_05251303_岡山_町田,2025-05-25 13:03:00,岡山,町田,2,2,-0.2631,False,0.271,0.411,0.318,A,D,False,A
第１８節第２日,j1_2025_05251403_新潟_湘南,2025-05-25 14:03:00,新潟,湘南,2,1,0.2106,True,0.31,0.399,0.291,H,H,True,H
第１８節第２日,j1_2025_05251403_清水_神戸,2025-05-25 14:03:00,清水,神戸,3,2,-0.2105,False,0.29,0.423,0.287,H,H,True,H
第１８節第２日,j1_2025_05251403_横浜FM_鹿島,2025-05-25 14:03:00,横浜FM,鹿島,3,1,-0.3684,False,0.22,0.403,0.377,A,H,False,A
第１８節第２日,j1_2025_05251403_横浜FC_柏,2025-05-25 14:03:00,横浜FC,柏,1,1,-0.6316,False,0.201,0.398,0.401,A,D,False,A
第１８節第２日,j1_2025_05251503_東京Ｖ_京都,2025-05-25 15:03:00,東京Ｖ,京都,1,0,-0.421,False,0.217,0.392,0.392,A,H,False,A
第１８節第２日,j1_2025_05251504_FC東京_広島,2025-05-25 15:04:00,FC東京,広島,0,3,-0.3158,False,0.259,0.43,0.311,A,A,True,A
第１８節第２日,j1_2025_05251603_川崎Ｆ_Ｇ大阪,2025-05-25 16:03:00,川崎Ｆ,Ｇ大阪,2,2,0.5263,True,0.33,0.425,0.246,H,D,False,H
第１９節第１日,j1_2025_05311403_名古屋_新潟,2025-05-31 14:03:00,名古屋,新潟,3,0,1.0526,True,0.344,0.407,0.249,H,H,True,H
第１９節第１日,j1_2025_05311403_町田_横浜FM,2025-05-31 14:03:00,町田,横浜FM,0,3,0.6842,True,0.384,0.404,0.211,H,A,False,H
第１９節第１日,j1_2025_05311404_福岡_東京Ｖ,2025-05-31 14:04:00,福岡,東京Ｖ,0,0,0.6316,True,0.385,0.385,0.23,H,D,False,H
